event_name,participant_id,task,time,mode,interaction_group
start,b5204179f5,8,1656478421,Basic,High interaction
attempts,b5204179f5,8,1656478503,Balanced,High interaction
complete,b5204179f5,8,1656478504,Balanced,High interaction
attempts,b5204179f5,9,1656478523,Advanced,High interaction
start,b5204179f5,9,1656478504,Balanced,High interaction
attempts,b5204179f5,9,1656478572,Advanced,High interaction
complete,b5204179f5,9,1656478573,Advanced,High interaction
attempts,34010f18a6,1,1656589386,Advanced,No interaction
start,34010f18a6,1,1656589281,Balanced,No interaction
attempts,34010f18a6,1,1656589393,Balanced,No interaction
complete,34010f18a6,1,1656589394,Balanced,No interaction
start,34010f18a6,2,1656589394,Basic,No interaction
attempts,34010f18a6,2,1656589512,Basic,No interaction
skip,34010f18a6,2,1656589513,Basic,No interaction
start,34010f18a6,3,1656589513,Advanced,No interaction
attempts,34010f18a6,3,1656589592,Advanced,No interaction
complete,34010f18a6,3,1656589593,Advanced,No interaction
start,34010f18a6,4,1656589593,Balanced,No interaction
attempts,34010f18a6,4,1656589648,Balanced,No interaction
skip,34010f18a6,4,1656589649,Balanced,No interaction
start,34010f18a6,5,1656589649,Basic,No interaction
attempts,34010f18a6,5,1656589726,Basic,No interaction
complete,34010f18a6,5,1656589727,Basic,No interaction
start,34010f18a6,6,1656589727,Advanced,No interaction
attempts,34010f18a6,6,1656589768,Advanced,No interaction
complete,34010f18a6,6,1656589769,Advanced,No interaction
start,34010f18a6,7,1656589769,Balanced,No interaction
attempts,34010f18a6,7,1656589781,Balanced,No interaction
complete,34010f18a6,7,1656589782,Balanced,No interaction
start,34010f18a6,8,1656589782,Basic,No interaction
attempts,34010f18a6,8,1656589898,Basic,No interaction
complete,34010f18a6,8,1656589899,Basic,No interaction
start,34010f18a6,9,1656589899,Advanced,No interaction
attempts,34010f18a6,9,1656590045,Advanced,No interaction
complete,34010f18a6,9,1656590046,Advanced,No interaction
start,447bb25c88,1,1656433547,Basic,No interaction
attempts,447bb25c88,1,1656433676,Basic,No interaction
complete,447bb25c88,1,1656433677,Basic,No interaction
start,447bb25c88,2,1656433677,Balanced,No interaction
attempts,447bb25c88,2,1656433799,Balanced,No interaction
complete,447bb25c88,2,1656433800,Balanced,No interaction
start,447bb25c88,3,1656433800,Advanced,No interaction
attempts,447bb25c88,3,1656433910,Advanced,No interaction
complete,447bb25c88,3,1656433911,Advanced,No interaction
start,447bb25c88,4,1656433911,Basic,No interaction
attempts,447bb25c88,4,1656433976,Basic,No interaction
skip,447bb25c88,4,1656433977,Basic,No interaction
start,447bb25c88,5,1656433977,Balanced,No interaction
attempts,447bb25c88,5,1656434060,Balanced,No interaction
complete,447bb25c88,5,1656434061,Balanced,No interaction
attempts,447bb25c88,6,1656434110,Advanced,No interaction
start,447bb25c88,6,1656434061,Advanced,No interaction
attempts,447bb25c88,6,1656434122,Advanced,No interaction
complete,447bb25c88,6,1656434123,Advanced,No interaction
start,447bb25c88,7,1656434123,Basic,No interaction
attempts,447bb25c88,7,1656434212,Basic,No interaction
complete,447bb25c88,7,1656434213,Basic,No interaction
attempts,447bb25c88,8,1656434268,Basic,No interaction
attempts,447bb25c88,8,1656434323,Balanced,No interaction
start,447bb25c88,8,1656434213,Balanced,No interaction
attempts,447bb25c88,8,1656434341,Balanced,No interaction
complete,447bb25c88,8,1656434342,Balanced,No interaction
start,447bb25c88,9,1656434342,Advanced,No interaction
attempts,447bb25c88,9,1656434486,Advanced,No interaction
complete,447bb25c88,9,1656434487,Advanced,No interaction
start,b825f54f67,1,1656404290,Advanced,Low interaction
attempts,b825f54f67,1,1656404377,Balanced,Low interaction
complete,b825f54f67,1,1656404378,Balanced,Low interaction
start,b825f54f67,2,1656404378,Balanced,Low interaction
attempts,b825f54f67,2,1656404460,Advanced,Low interaction
skip,b825f54f67,2,1656404461,Advanced,Low interaction
start,b825f54f67,3,1656404461,Basic,Low interaction
attempts,b825f54f67,3,1656404482,Basic,Low interaction
complete,b825f54f67,3,1656404483,Basic,Low interaction
start,b825f54f67,4,1656404483,Advanced,Low interaction
attempts,b825f54f67,4,1656404555,Basic,Low interaction
complete,b825f54f67,4,1656404556,Basic,Low interaction
start,b825f54f67,5,1656404556,Balanced,Low interaction
attempts,b825f54f67,5,1656404582,Basic,Low interaction
complete,b825f54f67,5,1656404583,Basic,Low interaction
start,b825f54f67,6,1656404583,Basic,Low interaction
attempts,b825f54f67,6,1656404660,Balanced,Low interaction
skip,b825f54f67,6,1656404661,Balanced,Low interaction
start,b825f54f67,7,1656404661,Advanced,Low interaction
attempts,b825f54f67,7,1656404706,Advanced,Low interaction
complete,b825f54f67,7,1656404707,Advanced,Low interaction
start,b825f54f67,8,1656404707,Balanced,Low interaction
attempts,b825f54f67,8,1656404760,Advanced,Low interaction
complete,b825f54f67,8,1656404761,Advanced,Low interaction
start,b825f54f67,9,1656404761,Basic,Low interaction
attempts,b825f54f67,9,1656404835,Basic,Low interaction
complete,b825f54f67,9,1656404836,Basic,Low interaction
attempts,8a41c14a65,1,1656535127,Balanced,No interaction
start,8a41c14a65,1,1656535034,Advanced,No interaction
attempts,8a41c14a65,1,1656535177,Advanced,No interaction
complete,8a41c14a65,1,1656535178,Advanced,No interaction
start,8a41c14a65,2,1656535178,Basic,No interaction
attempts,8a41c14a65,2,1656535338,Basic,No interaction
skip,8a41c14a65,2,1656535339,Basic,No interaction
start,8a41c14a65,3,1656535339,Balanced,No interaction
attempts,8a41c14a65,3,1656535455,Balanced,No interaction
complete,8a41c14a65,3,1656535456,Balanced,No interaction
attempts,8a41c14a65,4,1656535493,Advanced,No interaction
start,8a41c14a65,4,1656535456,Advanced,No interaction
attempts,8a41c14a65,4,1656535559,Advanced,No interaction
complete,8a41c14a65,4,1656535560,Advanced,No interaction
attempts,8a41c14a65,5,1656535642,Balanced,No interaction
start,8a41c14a65,5,1656535560,Basic,No interaction
attempts,8a41c14a65,5,1656535649,Basic,No interaction
complete,8a41c14a65,5,1656535650,Basic,No interaction
start,8a41c14a65,6,1656535650,Balanced,No interaction
attempts,8a41c14a65,6,1656535669,Balanced,No interaction
complete,8a41c14a65,6,1656535670,Balanced,No interaction
start,8a41c14a65,7,1656535670,Advanced,No interaction
attempts,8a41c14a65,7,1656535730,Advanced,No interaction
complete,8a41c14a65,7,1656535731,Advanced,No interaction
attempts,8a41c14a65,8,1656535740,Basic,No interaction
start,8a41c14a65,8,1656535731,Basic,No interaction
attempts,8a41c14a65,8,1656535842,Basic,No interaction
complete,8a41c14a65,8,1656535843,Basic,No interaction
start,8a41c14a65,9,1656535843,Balanced,No interaction
